2466	[]	[1932]
3507	[]	[1, 62, 1556, 2043, 2217, 2597, 2787, 3117, 493, 1132]
6850	[]	[4794]
5728	[]	[238, 802, 867, 1429, 1617, 1930, 2033, 2217, 2978, 3069, 3092, 3117, 3398, 3440, 4420, 4449, 4770, 5343, 226, 379, 1539, 366, 3345, 1060, 2138]
8783	[]	[5, 1579, 2121, 2138, 2139, 3355, 3468, 3690, 4691, 4808, 4973, 5133, 5415, 5727, 5728, 5874, 5944, 6043, 6395, 6635, 6852, 7282, 7832, 7860, 7926, 7978, 8129, 8160, 8372, 8375, 8401, 8443, 8495, 8528, 8627, 720, 1954, 8025, 3507, 6539, 7404, 7569, 6800, 1591, 6957]
9216	[]	[3690, 4808, 5863, 5874, 6797, 7282, 7926, 7978, 8443, 9193, 3507, 6539, 7404, 5859, 8372, 6800]
9779	[9595]	[5, 2138, 3690, 5859, 7926, 8093, 8372, 8783, 4808, 8001]
5874	[]	[2785]
9595	[5415]	[5, 4080, 6395, 7926, 8372, 8443, 8528, 9193, 5874, 8025, 8568, 5944, 2785, 5859, 9580, 4808, 6800, 6849, 9431]
6849	[]	[5]
9614	[3733]	[8025]
3733	[]	[5]
2372	[]	[5]
9881	[]	[5014]
8025	[]	[1632, 6395, 1671, 167, 6685]
9349	[]	[4808, 5944, 8528, 2121, 8568]
6652	[]	[1084]
3078	[738, 929, 2037, 2380, 2094, 720]	[1619, 1702, 2243, 2467, 2892]
6225	[1280]	[9]
6765	[911]	[3330]
4190	[3078]	[1635]
4991	[]	[1635]
9674	[3078]	[6035]
7428	[6031]	[3330]
6914	[]	[3330]
3616	[]	[1113]
3750	[548, 719, 922, 1886, 1897, 1968, 2155, 3531, 1269, 2160, 1170]	[128, 535, 566, 1509, 1930, 2217, 2470, 2953, 3040, 3264, 3515, 2828]
5586	[3548]	[13, 168, 170, 203, 286, 298, 405, 527, 543, 599, 609, 639, 682, 719, 771, 800, 881, 1087, 1096, 1115, 1156, 1242, 1339, 1496, 1539, 1564, 1600, 1758, 1822, 1930, 1932, 2101, 2388, 2395, 2398, 2654, 2803, 2808, 2887, 2939, 3026, 3206, 3329, 3376, 3421, 3660, 3723, 3783, 4017, 4185, 4323, 4425, 4736, 4746, 5180, 5551, 5570, 5571, 271, 1954, 1129, 2533, 883, 3900, 5493, 2568, 380, 1200, 4398, 1070, 2856, 3435, 493, 1951, 1088, 3570, 1205, 98, 2982, 3750, 4000, 938, 1469, 4345]
3043	[1672]	[15, 172, 233, 340, 367, 380, 638, 704, 743, 823, 1531, 1621, 1630, 1740, 1983, 2040, 2072, 2158, 2198, 2454, 2573, 2785, 2965, 709, 400, 1130, 725, 2027, 212, 448, 415, 1185]
5017	[]	[16, 160, 192, 203, 314, 366, 378, 442, 690, 743, 1075, 1411, 1634, 1702, 1795, 1956, 2033, 2512, 2549, 2731, 3009, 3148, 3204, 3831, 3845, 3997, 4133, 4171, 4341, 4388, 4400, 4475, 4617, 4622, 4965, 325, 2048, 2094, 3477, 4643, 2982, 1539, 2186, 380, 4156, 704, 4092, 1273, 1671, 157, 1130]
7095	[4133]	[5722]
5113	[192]	[5017]
4133	[1280]	[2512]
6468	[4578]	[378]
698	[447]	[458]
6668	[4690]	[627]
7130	[2403]	[5860]
2615	[]	[20]
213	[]	[86]
4302	[]	[22]
2593	[]	[434]
1016	[213]	[22]
5250	[521]	[2771]
606	[564]	[434]
1280	[623, 692, 1162]	[22]
399	[22]	[213]
5732	[5599]	[30, 429, 663, 857, 1015, 1121, 1124, 1226, 1417, 1719, 3590, 4216, 4383, 4394, 4411, 4558, 4614, 4690, 4870, 5133, 5322, 5360, 5543, 2217]
7808	[]	[34, 280, 823, 5368, 6108, 1293, 4001]
3168	[2388]	[435, 507, 1200, 1402, 1470, 1496, 1553, 1833, 3002, 2217]
1453	[1133]	[157]
8410	[5763]	[2335]
6725	[1401]	[40, 191, 232, 351, 576, 719, 1086, 2094, 2511, 2548, 2731, 2817, 2867, 3173, 3477, 4372, 5151, 5457, 5496, 6630, 202, 1664, 114, 3078, 959, 4676, 870, 862, 751, 1200, 1973, 3988, 1094, 1180, 3570, 1865, 1951, 1112]
5151	[]	[736]
1089	[]	[43]
4502	[405]	[44, 231, 331, 435, 539, 681, 686, 752, 959, 966, 1303, 1939, 2049, 2490, 2511, 2723, 3272, 3540, 3586, 3638, 3669, 3768, 3925, 3942, 3965, 4288, 271, 883, 2217, 493, 4070, 817, 2856, 3783, 719]
483	[]	[45]
7951	[]	[6134]
6501	[6500]	[54]
380	[]	[56]
3940	[238, 240, 736, 970, 1383, 3872]	[1073]
9079	[]	[57]
3330	[1635]	[929]
6402	[]	[209, 883, 984, 1537, 2153, 2300, 2973, 3886, 4306, 4643, 4766, 380, 902, 5007, 6066, 4686, 2856, 4070, 3414, 6258, 6088, 2775, 3233, 2205, 3883, 195, 98, 3940, 3110, 4282, 2290, 557, 1276, 1851, 1787]
3825	[374]	[61]
2180	[]	[65]
84	[]	[66]
8518	[7097]	[66, 231, 340, 604, 736, 768, 1132, 1939, 2198, 2771, 2828, 3839, 6088, 6246, 6345, 6421, 6933, 7999, 8173, 8350, 8451, 8468, 202, 903, 6795, 226, 1936, 3942, 435, 7392, 6058, 8353, 325, 8203, 7640, 4643, 379, 5222, 5930, 6625, 8256, 7053, 2887, 3205]
820	[]	[790]
4748	[]	[66]
1467	[1116]	[67]
360	[]	[67]
618	[234]	[123]
2155	[135, 253, 428, 435, 702, 741, 769, 857, 937, 1021, 1033, 1070, 1153, 1200, 1601, 1843, 325, 720]	[637]
2597	[231, 1192, 177, 604, 297, 1867, 1374, 1663]	[2022]
1300	[936]	[536]
3872	[362, 253, 2205, 3818]	[67, 2583, 656, 3507, 3387]
3570	[]	[114, 257, 524, 914, 2006, 2155, 2533, 2619, 2675, 3117, 226, 435, 1132, 1189, 2601, 2527, 318, 3011]
259	[]	[177]
5952	[316]	[67, 1129, 2774, 2856, 3435, 3977, 5157, 120, 704, 1954, 1182, 1205, 604, 2568, 1070, 3940]
6635	[318, 524, 2121, 4533, 5236, 5382, 1132]	[4099]
1539	[238]	[198]
7795	[6259]	[7761]
89	[]	[72]
1113	[948]	[527]
5251	[794]	[86]
6933	[]	[74, 231, 253, 270, 293, 312, 396, 719, 758, 825, 949, 990, 1011, 1086, 1116, 1153, 1273, 1329, 1401, 1421, 1483, 1648, 1799, 1865, 1995, 2121, 2167, 2446, 2481, 2548, 2583, 2726, 2731, 2763, 2774, 2915, 2935, 3414, 3416, 3462, 3505, 3519, 3716, 3839, 3865, 4050, 4244, 4269, 4380, 4624, 5445, 5496, 5764, 6682, 6884, 704, 903, 1867, 6188, 5172, 5206, 2771, 536, 864, 295, 6754, 1484, 4377, 3058, 325, 3872, 817, 3475, 380, 1280, 3071, 958, 373, 882, 2533, 3032, 232, 240, 720, 3055, 235, 1671, 2867, 4376, 2032, 358, 1084, 5187, 1366, 5694, 5669]
2706	[]	[74]
7557	[458]	[111]
6512	[]	[84, 790, 1080, 1931, 3942, 4124, 4826, 5183, 5621, 5732, 6437, 6485, 1453, 2672, 5030, 3656, 4847, 1175, 6489, 889, 941, 3112, 555, 6245, 4198, 2966, 3259]
379	[86]	[121]
7761	[4785]	[80, 239, 407, 753, 804, 1099, 1462, 1547, 1748, 1801, 1826, 2619, 2828, 2918, 3011, 3031, 3072, 3390, 3411, 3679, 4043, 4492, 4499, 4646, 4808, 4846, 4995, 5236, 5267, 5562, 5623, 5727, 6218, 6251, 6405, 6520, 6631, 6800, 6878, 7033, 7161, 7204, 7266, 7409, 7535, 7543, 5728, 6635, 5944, 1189, 3570, 2675, 7411, 7141, 1954, 6685, 2597, 5, 2138, 7378, 2503, 2121, 4181, 7372, 2601, 1940, 593, 6774, 318, 6132]
5039	[640]	[2578]
5330	[2158]	[84]
533	[33]	[84]
723	[610]	[84]
3656	[2076]	[2332]
9915	[3391]	[9775]
5918	[3411]	[123]
4471	[1576]	[84]
527	[]	[458]
425	[66]	[123]
4847	[4218]	[4654]
521	[177]	[380]
2672	[1453]	[756]
1602	[535]	[191, 352, 536, 793, 1005, 1138, 1365, 1472, 1503, 449, 1191, 266, 1084, 1243, 402]
7066	[]	[1200]
6091	[169, 231, 407, 445, 564, 565, 608, 790, 822, 929, 996, 1009, 1023, 1197, 1537, 1777, 1898, 1921, 1983, 2059, 2066, 2198, 2402, 2738, 2877, 3100, 3202, 3325, 3405, 3437, 3849, 4018, 4132, 4142, 4168, 4390, 4631, 4743, 4826, 4845, 4981, 4989, 5125, 5135, 5359, 5490, 5628, 5683, 5823, 855, 771, 1132, 1105, 5992, 5803, 4696, 2830, 4699, 818, 848, 4558]	[84]
9010	[6091]	[84]
3575	[]	[84]
3700	[]	[85, 774, 950, 1314, 1760, 1806, 1913, 2386, 3023, 3051, 3469]
10054	[]	[8098]
7923	[2000]	[86]
5227	[]	[936]
4827	[209, 493, 2830]	[379]
4690	[3259]	[86, 823, 903, 1153, 1200, 1351, 1553, 1907, 2290, 2475, 2785, 3660, 4021, 4181, 213, 720, 3823, 1039, 1398, 112, 3995, 2158]
5475	[3078, 5300, 213, 1936, 262, 1954, 3518, 260, 5412, 212]	[2771]
5222	[]	[86]
203	[202]	[86]
902	[743]	[86]
6795	[]	[3355, 5952, 6290, 5803]
493	[389]	[259]
8483	[259, 933]	[203, 389, 604, 857, 1951, 2094, 2099, 2918, 6682, 6745, 7043, 7640, 7875, 8256, 226, 7045, 7136, 1366, 1900, 1223, 4805, 2223, 6421, 1593, 6507, 4001, 6512, 2931]
1085	[]	[506]
9976	[]	[86]
2000	[]	[1366]
9880	[]	[1085]
1865	[743]	[1108]
