2466	[]	[1, 231, 316, 366, 959, 1300, 1303, 1828, 2070, 2198, 867, 400, 804, 1659, 1932, 1539, 1103]
3507	[]	[1, 62, 604, 829, 1186, 1547, 1556, 2006, 2043, 2050, 2138, 2217, 2438, 2597, 2622, 2675, 2787, 3050, 3108, 3117, 3130, 3280, 3346, 3390, 226, 493, 1132]
6850	[]	[4, 4794, 6609]
5728	[]	[5, 238, 650, 701, 802, 867, 976, 1429, 1617, 1620, 1930, 2033, 2217, 2435, 2658, 2766, 2836, 2978, 3069, 3092, 3117, 3398, 3440, 3682, 4304, 4420, 4449, 4626, 4770, 4949, 5343, 982, 226, 3507, 379, 1539, 366, 3345, 1060, 1132, 2597, 2138]
8783	[]	[5, 1579, 2121, 2138, 2139, 3355, 3468, 3587, 3690, 4632, 4691, 4808, 4949, 4973, 5133, 5415, 5727, 5728, 5859, 5874, 5944, 6043, 6395, 6635, 6852, 7282, 7562, 7832, 7860, 7926, 7978, 8129, 8160, 8372, 8375, 8401, 8443, 8495, 8528, 8568, 8627, 8755, 720, 1954, 2785, 8025, 3507, 6539, 6685, 7404, 7569, 6800, 1591, 6957]
9216	[]	[5, 3690, 4808, 4949, 5863, 5874, 5944, 6344, 6395, 6797, 7282, 7569, 7860, 7926, 7978, 8160, 8284, 8443, 8568, 8783, 9193, 3507, 6539, 6685, 7404, 7318, 2785, 5859, 8372, 8495, 6043, 6800]
9779	[5863, 9595, 9777]	[5, 2138, 2785, 3690, 5859, 5874, 5944, 6395, 7926, 8093, 8372, 8443, 8568, 9713, 9718, 6685, 8783, 3587, 4808, 8001]
5874	[]	[5, 2439, 3690, 4691, 5727, 5623, 2138, 2785, 5859, 3587, 5415, 4808, 4949, 511]
9595	[6290, 7761, 5415]	[5, 3690, 4080, 4691, 6395, 6685, 7926, 8042, 8093, 8372, 8443, 8528, 9193, 5623, 5874, 8025, 8568, 5944, 2138, 2785, 5859, 9216, 9580, 4808, 6800, 6849, 8495, 9431, 1632]
6849	[]	[5, 4949, 5944, 6395, 5623]
9614	[3733]	[5, 1632, 2372, 8025, 8443]
3733	[]	[5, 2372, 1632]
2372	[]	[5, 287]
9881	[]	[5, 8025, 9595, 4722, 9614, 1632, 3733, 5014, 2372]
8025	[]	[5, 340, 1300, 1632, 2138, 2198, 4442, 4949, 5007, 5052, 5944, 6395, 6539, 7161, 7378, 7988, 5133, 226, 1671, 7809, 167, 1954, 5952, 6685, 7999, 3733, 2372]
9349	[]	[5, 2138, 2785, 4691, 4808, 5727, 5859, 5874, 5944, 6395, 6539, 8443, 8528, 8783, 9268, 7978, 8306, 2121, 8568]
6652	[]	[6, 967, 1084, 1612]
3078	[195, 231, 248, 312, 348, 472, 522, 604, 738, 813, 929, 959, 1153, 1182, 1390, 1627, 1669, 1713, 2037, 2060, 2194, 2380, 2867, 3049, 325, 2094, 720, 528, 1300, 1273, 503, 25, 949]	[9, 67, 257, 316, 1619, 1635, 1671, 1702, 2243, 2467, 2566, 2771, 2914, 2915, 2943, 2271, 2892, 2217, 2210, 1629, 2828]
6225	[1280, 3078]	[9, 3330, 4847, 4135]
